id,date,match_date,competition,match,type,market,selection,odds,stake,model_prob,fair_odds,edge,status,result,points,pnl,rationale,created_at,settled_at
2026-06-11-kicktipp-meksyk-vs-rpa-exact-score,2026-06-11,2026-06-11,WC2026,Meksyk vs RPA,kicktipp,exact_score,1:0,,,0.18,5.556,,won,2:0,2,,"Gospodarz-faworyt (~67% de-vig), mocna defensywa Meksyku + niski O/U i wysokosc n.p.m.; 1:0 maks. oczek. pkt (~1.6)",2026-06-11T15:11:16,2026-06-16T21:18:19
2026-06-11-kicktipp-korea-pld-vs-czechy-exact-score,2026-06-11,2026-06-11,WC2026,Korea Pld vs Czechy,kicktipp,exact_score,1:0,,,0.11,9.091,,won,2:1,3,,"Wyrownany mecz, lekka przewaga Korei (Son, Lee Kang-in); 1:0 ~ oczek. pkt maks., 2:1 niemal rownowazne",2026-06-11T15:11:16,2026-06-16T21:18:19
2026-06-11-fortuna-meksyk-vs-rpa-ou25,2026-06-11,2026-06-11,WC2026,Meksyk vs RPA,fortuna,ou25,Ponizej 2.5,1.65,10,0.65,1.538,0.073,won,2:0,,6.5,Szac. ~2.1 gola lacznie; Under ~65% vs kurs ~60%. WARUNEK: potwierdz kurs >=1.62 na Fortuna. Stawka 0.5u,2026-06-11T15:11:16,2026-06-16T21:18:19
2026-06-18-kicktipp-szwajcaria-vs-bo-nia-exact-score,2026-06-18,2026-06-18,WC2026,Szwajcaria vs Bośnia,kicktipp,exact_score,1:0,,,0.127,7.87,,lost,4:1,2,,"Szw. faworyt ~62% de-vig, defensywna/wasteful ofensywa (1 gol vs Katar z karny), Bośnia z Dzeko wraca ale outsider 15.5%; Under rynek sugeruje <2.5 goli; EV 1:0≈1.21 vs 1:1≈1.20 (marginalnie najlepszy)",2026-06-18T21:43:42,2026-06-19T05:46:24
2026-06-18-kicktipp-kanada-vs-katar-exact-score,2026-06-18,2026-06-18,WC2026,Kanada vs Katar,kicktipp,exact_score,2:0,,,0.122,8.2,,lost,6:0,2,,"Kanada wyraźny faworyt ~74% de-vig; Davies wraca po kontuzji (kluczowy upgrade ataku); Katar słaby ofensywnie; EV 2:0≈1.48 vs 1:0≈1.47 (prawie remis, Davies daje edge wyższej bramce)",2026-06-18T21:43:47,2026-06-19T05:46:29
2026-06-18-kicktipp-meksyk-vs-korea-pld-exact-score,2026-06-18,2026-06-18,WC2026,Meksyk vs Korea Pld,kicktipp,exact_score,1:1,,,0.166,6.02,,lost,1:0,0,,"Meksyk minimalny faworyt ~46.4% de-vig (prawie 50/50), mecz w Guadalajarze (de facto domowy); obaj na 3pkt, remis korzystny dla obu drużyn w walce o awans; EV 1:1≈1.23 wyraźnie best",2026-06-18T21:43:59,2026-06-19T05:46:29
2026-06-18-fortuna-szwajcaria-vs-bo-nia-ou25,2026-06-18,2026-06-18,WC2026,Szwajcaria vs Bośnia,fortuna,ou25,Poniżej 2.5,1.81,10.0,0.595,1.68,0.077,lost,5 goli (4:1),,-10.0,"Szac. λ_total≈2.3 (obie dr. scored 1 w grupie; Szw. wasteful vs Katar 26strzałów/1gol); rynek Under 52.5% de-vig, mój model ~60%; edge ~7.7%@1.81. WARUNEK: potwierdź kurs >=1.78 na Fortunie przed strzałem. Stawka 0.5u",2026-06-18T21:43:59,2026-06-19T05:46:29
2026-06-19-kicktipp-usa-vs-australia-exact-score,2026-06-19,2026-06-19,WC2026,USA vs Australia,kicktipp,exact_score,1:0,,,,,,lost,2:0,2,,"USA umiarkowany faworyt (60%), atak w formie (4:1 vs Paragwaj), Australia też strzelała (2:0 Turcja); λ_USA=1.5, λ_AUS=1.0, draw_bias=1.4; EV(1:0)≈1.18 > EV(1:1)≈1.14 > EV(2:1)≈1.15",2026-06-19T05:53:32,2026-06-20T05:46:18
2026-06-19-kicktipp-scotland-vs-morocco-exact-score,2026-06-19,2026-06-19,WC2026,Scotland vs Morocco,kicktipp,exact_score,1:0,,,,,,lost,0:1,0,,"Maroko faworyt (56%), cagey obrona (tylko 1 gol stracony w AFCON 2025 przez 90 min), Szkocja 1:0 Haiti; λ_MAR=1.4, λ_SCO=0.8, draw_bias=1.4; EV(1:0-Mar)≈1.27 najwyższe",2026-06-19T05:53:32,2026-06-20T05:46:33
2026-06-19-kicktipp-brazil-vs-haiti-exact-score,2026-06-19,2026-06-19,WC2026,Brazil vs Haiti,kicktipp,exact_score,2:0,,,,,,lost,3:0,2,,"Brazylia ogromny faworyt (81%+), musi zrehabilitować się po 1:1 z Marokiem; Haiti 0 pkt, H2H 17:1; λ_BRA=2.5, λ_HAI=0.7; EV(2:0)≈1.78 najwyższe",2026-06-19T05:53:32,2026-06-20T05:46:33
2026-06-19-fortuna-usa-vs-australia-1x2,2026-06-19,2026-06-19,WC2026,USA vs Australia,fortuna,1x2,X (remis),4.4,19.93,0.259,3.86,0.14,lost,2:0,,-19.93,"Rynkowy draw 22.6% (de-vig), model Poisson 25.9%; edge=14.0%; obydwa na 3pkt, otwarty mecz, obie strony chcą wygrać ale też mogą skończyć remisem; kurs 4.40 w limicie",2026-06-19T05:53:32,2026-06-20T05:46:36
2026-06-20-kicktipp-holandia-vs-szwecja-exact-score,2026-06-20,2026-06-20,WC2026,Holandia vs Szwecja,kicktipp,exact_score,2:1,,,0.083,12.048,,won,5:1,2,,"NED faworytem 56.8% de-vig; λ_NED=2.0, λ_SWE=1.0 (total~3.0, O/U2.5 Over52.7%); draw_bias=1.4; EV(2:1)≈1.20=max; NED musi wygrać - atakuje; Isak zarządza minutami; profil umiarkowany faworyt z atakiem",2026-06-20T05:58:16,2026-06-21T05:46:53
2026-06-20-kicktipp-niemcy-vs-wks-exact-score,2026-06-20,2026-06-20,WC2026,Niemcy vs WKS,kicktipp,exact_score,1:0,,,0.157,6.369,,won,2:1,3,,"GER faworytem 61.0% de-vig; λ_GER=1.7, λ_CIV=0.6 (total~2.3, Under2.5 est.~60%); draw_bias=1.4; EV(1:0)≈1.39=max; WKS kontrujące (1:0 Ekwador), GER mocny ale vs silniejszy rywal; P(1:0)=0.157 najwyższe",2026-06-20T05:58:20,2026-06-21T05:46:57
2026-06-20-kicktipp-ekwador-vs-curacao-exact-score,2026-06-20,2026-06-20,WC2026,Ekwador vs Curacao,kicktipp,exact_score,3:0,,,0.129,7.752,,lost,0:0,0,,"ECU 87.6% faworytem; Curacao concedes 5+/mecz (7:1 Niemcy, 4:1 Szkocja, 5:1 Australia); λ_ECU≈3.0, λ_CUR≈0.3; EV(3:0)≈1.93=max; Ekwador MUSI wygrać (0pkt); 3:0 najwyższe P spośród siatek Poissona",2026-06-20T05:58:26,2026-06-21T05:47:02
2026-06-20-kicktipp-tunezja-vs-japonia-exact-score,2026-06-20,2026-06-20,WC2026,Tunezja vs Japonia,kicktipp,exact_score,0:1,,,0.136,7.353,,won,0:3,2,,"JPN 62.9% faworytem; Under2.5 54.7% de-vig → mecz zamknięty; Kubo KONTUZJOWANY (kolano, twarda dana) - brak kluczowego gracza kreatywnego; λ_JPN≈1.5, λ_TUN≈0.7; draw_bias=1.4; EV(0:1)≈1.33=max; Renard może zorganizować TUN defensywnie (desperacja → attack ale i ryzyko); profil cagey: 0:1 JPN naturalne",2026-06-20T05:58:30,2026-06-21T05:47:05
2026-06-21-kicktipp-hiszpania-vs-arabia-saudyjska-exact-score,2026-06-21,2026-06-21,WC2026,Hiszpania vs Arabia Saudyjska,kicktipp,exact_score,2:0,,,,,,won,4:0,2,,"Hiszpania 87% de-vig, Yamal+Williams po raz pierwszy razem, 27 strzałów vs ZP. Mismatch profil, szac. EV ~2.16 pkt",2026-06-21T05:52:43,2026-06-22T05:46:53
2026-06-21-kicktipp-belgia-vs-iran-exact-score,2026-06-21,2026-06-21,WC2026,Belgia vs Iran,kicktipp,exact_score,1:0,,,,,,lost,0:0,0,,"Belgia 66.6% de-vig, Doku absent (choroba), Iran problemy travel. Cagey profil bez Doku, szac. EV ~1.64 pkt",2026-06-21T05:52:43,2026-06-22T05:46:54
2026-06-21-kicktipp-urugwaj-vs-zielony-przyl-dek-exact-score,2026-06-21,2026-06-21,WC2026,Urugwaj vs Zielony Przylądek,kicktipp,exact_score,1:0,,,,,,lost,2:2,0,,"Urugwaj 68.9% de-vig, ZP defensywnie solidny (Vozinha 7 parad vs Hiszpania). Cagey, szac. EV ~1.70 pkt",2026-06-21T05:52:43,2026-06-22T05:46:55
2026-06-21-kicktipp-nowa-zelandia-vs-egipt-exact-score,2026-06-21,2026-06-21,WC2026,Nowa Zelandia vs Egipt,kicktipp,exact_score,0:1,,,,,,won,1:3,2,,"Egipt 59.8% de-vig (Salah+Marmoush), NZ zorganizowany. Salah prowadzi ciasne zwycięstwo. Szac. EV ~1.46 pkt",2026-06-21T05:52:43,2026-06-22T05:46:56
2026-06-22-kicktipp-argentyna-vs-austria-exact-score,2026-06-22,2026-06-22,WC2026,Argentyna vs Austria,kicktipp,exact_score,1:0,,,,,,won,2:0,2,,"ARG 59% faworytem (de-vig), Messi hat-trick w otwarciu, Austria solidna (3:1 vs Jordania) ale słabszy atak. λ=1.7/0.8, EV(1:0)=1.40 vs EV(2:1)=1.36. Umiarkowany faworyt z atakiem w formie → graj wygraną.",2026-06-22T05:55:17,2026-06-23T05:46:51
2026-06-22-kicktipp-francja-vs-irak-exact-score,2026-06-22,2026-06-22,WC2026,Francja vs Irak,kicktipp,exact_score,2:0,,,,,,won,3:0,2,,"Francja mismatch-faworyt ~83% (Mbappé+Barcola+Dembélé+Olise), Irak 0pkt (1:4 vs Norwegia). λ=2.7/0.8. EV(2:0)=1.84, EV(3:1)=1.81. Reguła: umiarkowany mismatch (λ_rywal ~0.8) → 2:0.",2026-06-22T05:55:20,2026-06-23T05:46:54
2026-06-22-kicktipp-norwegia-vs-senegal-exact-score,2026-06-22,2026-06-22,WC2026,Norwegia vs Senegal,kicktipp,exact_score,1:1,,,,,,lost,3:2,0,,"Pick'em: Norwegia 42%, remis 27%, Senegal 30% (de-vig). Obie drużyny mogą strzelić (Haaland + atak Senegalu). draw_bias=1.4 nudge + remis=3pkt premium. EV(1:1)=1.19 > EV(1:0)=1.15.",2026-06-22T05:55:23,2026-06-23T05:46:56
2026-06-22-kicktipp-jordania-vs-algieria-exact-score,2026-06-22,2026-06-22,WC2026,Jordania vs Algieria,kicktipp,exact_score,0:1,,,,,,won,1:2,3,,"Algieria 61% (de-vig), Mahrez wraca do składu, Jordania bez Nasiba (kontuzja). Oba zespoły na 0 pkt - Algieria pod presją. Typ 0:1 (Algieria wygrywa). EV(0:1)=1.49 > EV(0:2)=1.38.",2026-06-22T05:55:26,2026-06-23T05:46:59
2026-06-23-kicktipp-portugal-vs-uzbekistan-exact-score,2026-06-23,2026-06-23,WC2026,Portugal vs Uzbekistan,kicktipp,exact_score,3:0,,,,,,pending,,,,"Mismatch+amplifikacja: POR 80% de-vig, Dias wraca, desperacja (1 pkt). λ_fin POR≈2.24 UZB≈0.53",2026-06-23T05:55:17,
2026-06-23-kicktipp-england-vs-ghana-exact-score,2026-06-23,2026-06-23,WC2026,England vs Ghana,kicktipp,exact_score,2:0,,,,,,pending,,,,Wyrazny faworyt w formie ofensywnej (4:2 Chorwacja). Ghana zorganizowana ale niewystarczajaca. λ_fin ENG≈1.86 GHA≈0.56,2026-06-23T05:55:27,
2026-06-23-kicktipp-panama-vs-croatia-exact-score,2026-06-23,2026-06-23,WC2026,Panama vs Croatia,kicktipp,exact_score,0:1,,,,,,pending,,,,Chorwacja przewazona jakosciowo (Modric Kovacic Kramaric). Obaj desperaci: 0 pkt. CRO 62.8% de-vig. Po draw_bias: EV(0:1 CRO)>EV(0:0/1:1),2026-06-23T05:55:27,
